Reference,Qty,Value,Footprint
"C1,C2",2,2200u,Capacitor_THT:CP_Radial_D12.5mm_P5.00mm
D1,1,B40C800G,Diode_THT:Diode_Bridge_Round_D9.8mm
T1,1,,ST-6-16 (110V) or DST-6-16 (220V)
-,1,Power Unit,"With Fuse, Switch and C8 connector"
-,1,Case,Top
-,1,Case,Bottom
-,2,M3,Screw; 40mm length or longer (for Transformer); Sunken Head
-,2,M3,Nut (for Transformer)
-,4,M3,Screw; 10mm length (for Case); Sunken Head
-,2,M3,Screw; 6mm length (for power unit); Black
-,1,6N-4,Strain Relief
-,1,Cable,4 or 5-wires (5 preferred); ~50cm length
-,1,DIN-5,Connector
-,1,Zip-Tie,To improve strain relief
-,1,Fuse,1.5A 250V; 6x30mm Glass Fuse; Fast Blow
-,-,Wire,AWG 20 (or lower) for power connection
